Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Bilaspur,7,0,13,,73,1334,0,76.0,0.0,93.0,,504.0,10613.0,382056,,,,14424,85,14200,,323603,243173,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Chamba,1,0,1,,282,5213,0,11.0,0.0,20.0,,1532.0,23444.0,518844,,,,13692,160,13508,,365347,216560,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Hamirpur,16,0,41,,32,801,0,157.0,2.0,250.0,,520.0,14472.0,454293,,,,17493,287,16934,,377729,279602,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Kangra,36,0,128,,535,9479,0,318.0,11.0,580.0,,2663.0,42475.0,1507223,,,,51050,1133,49331,,1184716,760427,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Kinnaur,0,0,0,,10,46,0,8.0,0.0,4.0,,33.0,300.0,84298,,,,3514,38,3468,,79706,63509,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Kullu,3,0,1,,171,3057,0,13.0,0.0,20.0,,647.0,9174.0,437474,,,,9705,158,9512,,351908,212723,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Lahaul and Spiti,0,0,0,,4,80,0,1.0,0.0,0.0,,15.0,288.0,31528,,,,2954,18,2935,,31935,21274,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Mandi,10,0,22,,221,7775,0,96.0,4.0,134.0,,1032.0,27536.0,999518,,,,31677,451,31095,,776135,503743,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Shimla,16,0,22,,207,3485,0,60.0,1.0,75.0,,1609.0,33942.0,813384,,,,27589,642,26846,,679620,438864,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Sirmaur,0,0,0,,194,4153,0,1.0,0.0,0.0,,1227.0,21928.0,530164,,,,15457,211,15244,,424744,226286,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Solan,0,0,4,,119,3431,0,11.0,0.0,16.0,,889.0,16285.0,576670,,,,22823,314,22484,,691797,351703,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
2021-11-05,HP,97,0,245,0,1960,41637,0,840.0,19.0,1300.0,,11319.0,216217.0,Una,8,0,13,,112,2783,0,88.0,1.0,108.0,,648.0,15760.0,521057,,,,14338,254,13893,,435453,299649,01:59.6,7300000,,,,224716,3751,219450,,5722693,3617513
