Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Ambala,0.0,0.0,0.0,,20,118,0,0.0,0.0,2.0,,1257.0,11243.0,1136784,,,,30150.0,509.0,29641,,873805,579493,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Bhiwani,0.0,0.0,0.0,,0,2,0,0.0,0.0,0.0,,2729.0,13571.0,1629109,,,,22409.0,652.0,21757,,742777,325701,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Charkhi Dadri,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,,356.0,6102.0,502276,,,,5078.0,139.0,4939,,364844,266406,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Faridabad,0.0,0.0,2.0,,191,770,0,9.0,0.0,20.0,,7206.0,13381.0,1798954,,,,99907.0,716.0,99175,,1662215,848267,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Fatehabad,0.0,0.0,0.0,,11,74,0,0.0,0.0,0.0,,451.0,1866.0,941522,,,,17875.0,481.0,17394,,574777,202951,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Gurugram,,,,,93,805,0,47.0,0.0,41.0,,6509.0,20607.0,1514085,,,,181459.0,922.0,180481,,2197374,1390223,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Hisar,0.0,0.0,1.0,,2,50,0,0.0,0.0,2.0,,1448.0,4017.0,1742815,,,,53995.0,1136.0,52859,,995118,334985,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Jhajjar,0.0,0.0,1.0,,434,1277,0,0.0,0.0,1.0,,4409.0,9397.0,956907,,,,18849.0,328.0,18515,,687336,299605,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Jind,0.0,0.0,0.0,,57,500,0,0.0,0.0,1.0,,5637.0,9574.0,1332042,,,,21209.0,533.0,20676,,707779,256704,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Kaithal,0.0,0.0,0.0,,8,64,0,0.0,0.0,0.0,,1640.0,4866.0,1072861,,,,11244.0,346.0,10898,,616145,220724,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Karnal,0.0,0.0,0.0,,6,32,0,1.0,0.0,0.0,,2212.0,8405.0,1506323,,,,40037.0,552.0,39484,,1001028,457462,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Kurukshetra,0.0,0.0,0.0,,36,166,0,1.0,0.0,2.0,,1158.0,3710.0,964231,,,,22148.0,357.0,21791,,611023,250410,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,7.0,0.0,10.0,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Mahendragarh,0.0,0.0,0.0,,234,550,0,0.0,0.0,0.0,,2364.0,5611.0,921680,,,,21689.0,155.0,21534,,577817,268396,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
2021-11-05,HR,,,,0,1846,5926,0,65.0,1.0,90.0,,69163.0,162769.0,Nuh,0.0,0.0,0.0,,43,31,0,0.0,0.0,1.0,,9184.0,2909.0,1089406,,,,5014.0,123.0,4891,,360181,79908,2021-11-06T22:08:20.972132+05:30,28672000,,,,771294.0,10050.0,761137,,17812546,8214965
