,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-11-07,PB,Ludhiana,,,,87621,2106,85498,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
1,2021-11-07,PB,S.A.S. Nagar,,,,68846,1069,67744,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
2,2021-11-07,PB,Jalandhar,,,,63414,1496,61887,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
3,2021-11-07,PB,Patiala,,,,48933,1358,47566,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
4,2021-11-07,PB,Amritsar,,,,47391,1598,45784,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
5,2021-11-07,PB,Bathinda,,,,41734,1042,40677,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
6,2021-11-07,PB,Hoshiarpur,,,,30834,986,29836,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
7,2021-11-07,PB,Gurdaspur,,,,22384,801,21580,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
8,2021-11-07,PB,Fazilka,,,,20276,529,19738,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
9,2021-11-07,PB,Pathankot,,,,18826,421,18383,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
10,2021-11-07,PB,Sri Muktsar Sahib,,,,18784,524,18259,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
11,2021-11-07,PB,Kapurthala,,,,17855,556,17295,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
12,2021-11-07,PB,Sangrur,,,,15766,875,14886,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
13,2021-11-07,PB,Mansa,,,,15607,380,15226,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
14,2021-11-07,PB,Ferozepur,,,,14353,504,13836,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
15,2021-11-07,PB,Faridkot,,,,13928,315,13609,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
16,2021-11-07,PB,Rupnagar,,,,12968,424,12535,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
17,2021-11-07,PB,Shahid Bhagat Singh Nagar,,,,11472,388,11080,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
18,2021-11-07,PB,Fatehgarh Sahib,,,,8881,335,8541,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
19,2021-11-07,PB,Moga,,,,8677,233,8442,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
20,2021-11-07,PB,Tarn Taran,,,,8050,380,7663,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
21,2021-11-07,PB,Barnala,,,,5950,244,5699,,2022-01-04T22:35:20.427102+05:30,,,,602550,16564,585764,15587204
