Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Aizawl,,,,,162,354,0,,,,,1404.0,4927.0,404054,,,,,,,,318918,259627,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Champhai,,,,,37,173,0,,,,,441.0,595.0,125370,,,,,,,,75290,59991,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Hnahthial,,,,,0,0,0,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Khawzawl,,,,,0,0,0,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Kolasib,,,,,7,42,0,,,,,100.0,868.0,83054,,,,,,,,51413,37402,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Lawngtlai,,,,,469,39,0,,,,,2193.0,774.0,117444,,,,,,,,68917,33137,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Lunglei,,,,,873,159,0,,,,,1931.0,1023.0,154094,,,,,,,,98038,78726,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Mamit,,,,,19,60,0,,,,,846.0,1576.0,85757,,,,,,,,45941,33871,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Saiha,,,,,0,66,0,,,,,517.0,1111.0,56366,,,,,,,,35574,23754,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Saitual,,,,,0,0,0,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Serchhip,,,,,0,10,0,,,,,213.0,260.0,64875,,,,,,,,42397,37746,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
2021-12-03,MZ,315,1,411,0,1567,903,0,2159.0,16.0,2750.0,,7645.0,11134.0,Unknown,315.0,1.0,411.0,,0,0,0,2159.0,16.0,2750.0,,0.0,0.0,0,,,,136080.0,504.0,131956.0,,0,0,2021-12-04 11:55:15.875049,1192000,,,,136080,504,131956,,736488,564254
