,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-10-31,DL,Central Delhi,,,,,,,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
1,2021-10-31,DL,East Delhi,,,,,,,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
2,2021-10-31,DL,New Delhi,,,,,,,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
3,2021-10-31,DL,North Delhi,,,,,,,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
4,2021-10-31,DL,North East Delhi,,,,,,,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
5,2021-10-31,DL,North West Delhi,,,,,,,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
6,2021-10-31,DL,Shahdara,,,,,,,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
7,2021-10-31,DL,South Delhi,,,,,,,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
8,2021-10-31,DL,South East Delhi,,,,,,,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
9,2021-10-31,DL,South West Delhi,,,,,,,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
10,2021-10-31,DL,West Delhi,,,,,,,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
11,2021-10-31,DL,Unknown,,,,1439870,25091,1414431,,2021-11-03 09:46:07.874821,,,,1439870,25091,1414431,
