,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,,,,,
1,,,Districtwise Abstract of COVID-19,,,
2,,,,,,Death
3,,,,Today’s,,
4,,,Total,,Total,due to
5,Sl.,,Today’s Total Today’s Total,Reported,,
6,,District Name,Active,,Covid,
7,No,,Positives,,,
8,,,,,,Non-
9,,,Positives Discharges Discharges,Covid,,
10,,,Cases,,Deaths,Covid
11,,,,Deaths,,
12,,,,,,reasons#
13,1,Bagalakote,0 35178 0 34843 2,0,333,0
14,2,Ballari,3 97757 0 95949 119,0,1689,0
15,3,Belagavi,1 79882 0 78863 81,0,938,0
16,4,Bengaluru Rural,4 61988 3 61056 42,1,890,0
17,5,Bengaluru Urban,169 1251013 123 1228295 6464,3,16253,1
18,6,Bidar,0 24340 1 23933 3,0,400,4
19,7,Chamarajanagara,0 32997 2 32456 30,0,500,11
20,8,Chikkaballapura,1 43941 0 43493 21,0,426,1
21,9,Chikkamagaluru,4 51108 63 50635 78,0,395,0
22,10,Chitradurga,2 36652 0 36401 45,0,206,0
23,,Dakshina,,,,
24,11,,23 115339 26 113381 280,0,1671,7
25,,Kannada,,,,
26,12,Davanagere,0 50979 4 50353 19,0,607,0
27,13,Dharwada,0 60968 1 59632 21,0,1313,2
28,14,Gadag,0 26066 0 25747 0,0,319,0
29,15,Hassana,18 111676 6 110192 229,2,1253,2
30,16,Haveri,0 21946 0 21300 3,0,643,0
31,17,Kalaburagi,0 61920 0 61083 18,0,819,0
32,18,Kodagu,4 36994 20 36582 82,0,329,1
33,19,Kolara,0 46905 4 46245 24,1,636,0
34,20,Koppala,0 35198 0 34657 20,0,521,0
35,21,Mandya,4 73713 2 73002 61,0,650,0
36,22,Mysuru,19 178970 43 176278 283,0,2409,0
37,23,Raichuru,0 39972 2 39639 2,0,331,0
38,24,Ramanagara,2 24198 1 23863 16,0,319,0
39,25,Shivamogga,2 69419 13 68194 137,0,1088,0
40,26,Tumakuru,6 120732 9 119348 258,0,1126,0
41,27,Udupi,9 76682 14 76133 60,0,489,0
42,28,Uttara Kannada,6 56173 6 55307 100,0,766,0
43,29,Vijayapura,0 36266 0 35762 9,0,495,0
44,30,Yadagiri,0 27545 0 27335 3,0,207,0
45,31,Others*,0 36 0 33 0,0,3,0
46,,Total,277 2986553 343 2939990 8510,7,38024,29
47,*Others include Cases of other States and International Quarantined Passengers.,,,,,
48,#Cumulative total of Non COVID deaths reported till today.,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,Date: 26-10-2021,,,Page 5 of 8,
