,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-08-17,TT,44996426,531924,44463066,2023-12-25 23:41:22.155715,934304999,2023-08-16 00:00:00,26298,2206731905,1027416002,951982752,227333151,991264,347616,353285,290363,https://www.icmr.gov.in/,33,2,45,396,94,69,559,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340676,2325943,14733,2023-08-17,TT,44996426,531924,44463066,2023-12-25 23:41:22.155715,934304999,2023-08-16 00:00:00,26298,2206731905,1027416002,951982752,227333151,110957427,44704413,47578800,18674214,https://www.icmr.gov.in/,33,2,45,396,94,69,559,0,0,0,0,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67049,66753,296,2023-08-17,TT,44996426,531924,44463066,2023-12-25 23:41:22.155715,934304999,2023-08-16 00:00:00,26298,2206731905,1027416002,951982752,227333151,1924584,961348,821819,141417,https://www.icmr.gov.in/,33,2,45,396,94,69,559,0,0,0,0,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746150,738115,8035,2023-08-17,TT,44996426,531924,44463066,2023-12-25 23:41:22.155715,934304999,2023-08-16 00:00:00,26298,2206731905,1027416002,951982752,227333151,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,33,2,45,396,94,69,559,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855262,842947,12314,2023-08-17,TT,44996426,531924,44463066,2023-12-25 23:41:22.155715,934304999,2023-08-16 00:00:00,26298,2206731905,1027416002,951982752,227333151,157291866,73485716,67912419,15893731,https://www.icmr.gov.in/,33,2,45,396,94,69,559,8,1,78,87,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,100693,99508,1185,2023-08-17,TT,44996426,531924,44463066,2023-12-25 23:41:22.155715,934304999,2023-08-16 00:00:00,26298,2206731905,1027416002,951982752,227333151,2291737,1185871,991137,114729,https://www.icmr.gov.in/,33,2,45,396,94,69,559,3,1,1,5,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187694,1173501,14190,2023-08-17,TT,44996426,531924,44463066,2023-12-25 23:41:22.155715,934304999,2023-08-16 00:00:00,26298,2206731905,1027416002,951982752,227333151,49167939,21267795,20343760,7556384,https://www.icmr.gov.in/,33,2,45,396,94,69,559,0,0,0,0,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-08-17,TT,44996426,531924,44463066,2023-12-25 23:41:22.155715,934304999,2023-08-16 00:00:00,26298,2206731905,1027416002,951982752,227333151,1580060,782353,636962,160745,https://www.icmr.gov.in/,33,2,45,396,94,69,559,0,0,0,0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040847,2014177,26666,2023-08-17,TT,44996426,531924,44463066,2023-12-25 23:41:22.155715,934304999,2023-08-16 00:00:00,26298,2206731905,1027416002,951982752,227333151,37409223,18297802,15717486,3393935,https://www.icmr.gov.in/,33,2,45,396,94,69,559,2,2,6,10,0,5,0,,,1332900000,Delhi,19814000
9,Goa,263334,259320,4014,2023-08-17,TT,44996426,531924,44463066,2023-12-25 23:41:22.155715,934304999,2023-08-16 00:00:00,26298,2206731905,1027416002,951982752,227333151,2874477,1440045,1295735,138697,https://www.icmr.gov.in/,33,2,45,396,94,69,559,0,0,0,0,0,1,0,,,1332900000,Goa,1540000
