Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-12,MH,925,41,945,116799,274249,317595,0,6244.0,154.0,8744.0,642557.0,1114798.0,1612804.0,Ahmednagar,54,2,101,,5374,7221,0,557.0,15.0,1189.0,,29083.0,42049.0,4543083,,,,340574,7082,332123,,2508280,932587,2021-11-13 06:43:21.395848,122153000,2021-11-13 06:43:21.396594,,,6622345,140516,6465893,63747431,68794617,33010236
2021-11-12,MH,925,41,945,116799,274249,317595,0,6244.0,154.0,8744.0,642557.0,1114798.0,1612804.0,Akola,0,1,3,,11925,3727,0,7.0,1.0,7.0,,37715.0,15715.0,1818617,,,,58780,1426,57330,,807103,377124,2021-11-13 06:43:21.395848,122153000,2021-11-13 06:43:21.396594,,,6622345,140516,6465893,63747431,68794617,33010236
2021-11-12,MH,925,41,945,116799,274249,317595,0,6244.0,154.0,8744.0,642557.0,1114798.0,1612804.0,Amravati,0,0,0,,11269,6909,0,10.0,1.0,0.0,,31957.0,27515.0,2887826,,,,96241,1595,94618,,1277560,580287,2021-11-13 06:43:21.395848,122153000,2021-11-13 06:43:21.396594,,,6622345,140516,6465893,63747431,68794617,33010236
2021-11-12,MH,925,41,945,116799,274249,317595,0,6244.0,154.0,8744.0,642557.0,1114798.0,1612804.0,Aurangabad,24,0,0,,20639,10902,0,98.0,1.0,132.0,,65856.0,44059.0,3695928,,,,155536,4252,150865,,1848367,775103,2021-11-13 06:43:21.395848,122153000,2021-11-13 06:43:21.396594,,,6622345,140516,6465893,63747431,68794617,33010236
2021-11-12,MH,925,41,945,116799,274249,317595,0,6244.0,154.0,8744.0,642557.0,1114798.0,1612804.0,Beed,6,0,2,,7510,5670,0,55.0,5.0,92.0,,37357.0,29455.0,2585962,,,,103840,2814,100998,,1202609,528814,2021-11-13 06:43:21.395848,122153000,2021-11-13 06:43:21.396594,,,6622345,140516,6465893,63747431,68794617,33010236
2021-11-12,MH,925,41,945,116799,274249,317595,0,6244.0,154.0,8744.0,642557.0,1114798.0,1612804.0,Bhandara,0,0,0,,402,1701,0,0.0,0.0,2.0,,2290.0,11393.0,1198810,,,,60081,1123,58948,,828587,434911,2021-11-13 06:43:21.395848,122153000,2021-11-13 06:43:21.396594,,,6622345,140516,6465893,63747431,68794617,33010236
2021-11-12,MH,925,41,945,116799,274249,317595,0,6244.0,154.0,8744.0,642557.0,1114798.0,1612804.0,Buldhana,4,1,3,,29690,10761,0,13.0,2.0,14.0,,93847.0,44479.0,2588039,,,,85541,799,84730,,1244600,566807,2021-11-13 06:43:21.395848,122153000,2021-11-13 06:43:21.396594,,,6622345,140516,6465893,63747431,68794617,33010236
2021-11-12,MH,925,41,945,116799,274249,317595,0,6244.0,154.0,8744.0,642557.0,1114798.0,1612804.0,Chandrapur,5,0,0,,2430,4351,0,14.0,0.0,0.0,,13106.0,24622.0,2194262,,,,88985,1562,87387,,1351602,487343,2021-11-13 06:43:21.395848,122153000,2021-11-13 06:43:21.396594,,,6622345,140516,6465893,63747431,68794617,33010236
2021-11-12,MH,925,41,945,116799,274249,317595,0,6244.0,154.0,8744.0,642557.0,1114798.0,1612804.0,Dhule,0,0,0,,4562,5762,0,4.0,0.0,4.0,,16394.0,19377.0,2048781,,,,46179,654,45513,,1036120,505138,2021-11-13 06:43:21.395848,122153000,2021-11-13 06:43:21.396594,,,6622345,140516,6465893,63747431,68794617,33010236
2021-11-12,MH,925,41,945,116799,274249,317595,0,6244.0,154.0,8744.0,642557.0,1114798.0,1612804.0,Gadchiroli,0,0,0,,1486,1372,0,3.0,0.0,3.0,,6704.0,5619.0,1071795,,,,30444,669,29739,,552244,240078,2021-11-13 06:43:21.395848,122153000,2021-11-13 06:43:21.396594,,,6622345,140516,6465893,63747431,68794617,33010236
