,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-08,DL,Central Delhi,,,,,,,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
1,2021-12-08,DL,East Delhi,,,,,,,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
2,2021-12-08,DL,New Delhi,,,,,,,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
3,2021-12-08,DL,North Delhi,,,,,,,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
4,2021-12-08,DL,North East Delhi,,,,,,,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
5,2021-12-08,DL,North West Delhi,,,,,,,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
6,2021-12-08,DL,Shahdara,,,,,,,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
7,2021-12-08,DL,South Delhi,,,,,,,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
8,2021-12-08,DL,South East Delhi,,,,,,,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
9,2021-12-08,DL,South West Delhi,,,,,,,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
10,2021-12-08,DL,West Delhi,,,,,,,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
11,2021-12-08,DL,Unknown,,,,1441514,25100,1416010,,2021-12-09 10:46:46.754772,,,,1441514,25100,1416010,
