Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-23,TT,9283,437,10949,1284986,86370,179519,,69165.0,2431.0,83808.0,7757889.0,15035163.0,31418185.0,Andaman and Nicobar Islands,0,0,0,0,1,65,0,2.0,0.0,9.0,0.0,586.0,14679.0,397000,0,0,0,7676,129,7545,0,296097,243788,2021-11-24 10:47:57.397761,1332900000,2021-11-23 00:00:00,https://www.icmr.gov.in/,0,34535763,466584,33957698,634774225,772641020,412351886
2021-11-23,TT,9283,437,10949,1284986,86370,179519,,69165.0,2431.0,83808.0,7757889.0,15035163.0,31418185.0,Andhra Pradesh,196,1,242,0,1428,5243,0,1281.0,11.0,1845.0,0.0,248080.0,994506.0,52221000,0,0,0,2071567,14429,2054979,0,34067914,23680270,2021-11-24 10:47:57.397761,1332900000,2021-11-23 00:00:00,https://www.icmr.gov.in/,0,34535763,466584,33957698,634774225,772641020,412351886
2021-11-23,TT,9283,437,10949,1284986,86370,179519,,69165.0,2431.0,83808.0,7757889.0,15035163.0,31418185.0,Arunachal Pradesh,4,0,2,0,30,151,0,25.0,0.0,39.0,0.0,6344.0,15672.0,1504000,0,0,0,55255,280,54939,0,788359,595625,2021-11-24 10:47:57.397761,1332900000,2021-11-23 00:00:00,https://www.icmr.gov.in/,0,34535763,466584,33957698,634774225,772641020,412351886
2021-11-23,TT,9283,437,10949,1284986,86370,179519,,69165.0,2431.0,83808.0,7757889.0,15035163.0,31418185.0,Assam,207,2,157,0,1395,2080,0,1368.0,23.0,1595.0,0.0,303486.0,1000323.0,34293000,0,0,0,615781,6079,606726,0,20889656,11120264,2021-11-24 10:47:57.397761,1332900000,2021-11-23 00:00:00,https://www.icmr.gov.in/,0,34535763,466584,33957698,634774225,772641020,412351886
2021-11-23,TT,9283,437,10949,1284986,86370,179519,,69165.0,2431.0,83808.0,7757889.0,15035163.0,31418185.0,Bihar,5,0,1,0,11319,16806,0,35.0,1.0,16.0,0.0,1380060.0,2407420.0,119520000,0,0,0,726196,9663,716488,0,52991651,23605579,2021-11-24 10:47:57.397761,1332900000,2021-11-23 00:00:00,https://www.icmr.gov.in/,0,34535763,466584,33957698,634774225,772641020,412351886
2021-11-23,TT,9283,437,10949,1284986,86370,179519,,69165.0,2431.0,83808.0,7757889.0,15035163.0,31418185.0,Chandigarh,5,0,2,0,7,74,0,25.0,0.0,20.0,0.0,3668.0,19098.0,1179000,0,0,0,65415,820,64560,0,936552,609061,2021-11-24 10:47:57.397761,1332900000,2021-11-23 00:00:00,https://www.icmr.gov.in/,0,34535763,466584,33957698,634774225,772641020,412351886
2021-11-23,TT,9283,437,10949,1284986,86370,179519,,69165.0,2431.0,83808.0,7757889.0,15035163.0,31418185.0,Chhattisgarh,39,1,17,0,3833,2647,0,210.0,5.0,146.0,0.0,537434.0,614297.0,28724000,0,0,0,1006616,13593,992698,0,15887658,8863961,2021-11-24 10:47:57.397761,1332900000,2021-11-23 00:00:00,https://www.icmr.gov.in/,0,34535763,466584,33957698,634774225,772641020,412351886
2021-11-23,TT,9283,437,10949,1284986,86370,179519,,69165.0,2431.0,83808.0,7757889.0,15035163.0,31418185.0,Dadra and Nagar Haveli and Daman and Diu,1,0,0,0,14,42,0,1.0,0.0,0.0,0.0,4327.0,18707.0,959000,0,0,0,10683,4,10678,0,671681,425353,2021-11-24 10:47:57.397761,1332900000,2021-11-23 00:00:00,https://www.icmr.gov.in/,0,34535763,466584,33957698,634774225,772641020,412351886
2021-11-23,TT,9283,437,10949,1284986,86370,179519,,69165.0,2431.0,83808.0,7757889.0,15035163.0,31418185.0,Delhi,27,0,28,0,60,184,0,235.0,0.0,296.0,0.0,221302.0,353088.0,19814000,0,0,0,1440719,25095,1415328,0,13631175,8433824,2021-11-24 10:47:57.397761,1332900000,2021-11-23 00:00:00,https://www.icmr.gov.in/,0,34535763,466584,33957698,634774225,772641020,412351886
2021-11-23,TT,9283,437,10949,1284986,86370,179519,,69165.0,2431.0,83808.0,7757889.0,15035163.0,31418185.0,Goa,32,0,19,0,3,16,0,176.0,2.0,182.0,0.0,4384.0,24184.0,1540000,0,0,0,178709,3378,175087,0,1277855,1007663,2021-11-24 10:47:57.397761,1332900000,2021-11-23 00:00:00,https://www.icmr.gov.in/,0,34535763,466584,33957698,634774225,772641020,412351886
