Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-10-29,MZ,1284.0,2.0,646.0,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Aizawl,,,,,0,0,0,,,,,0,0,404054,,,,,,,,315700,239531,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,555231.0,0
2021-10-29,MZ,1284.0,2.0,646.0,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Champhai,,,,,0,0,0,,,,,0,0,125370,,,,,,,,74015,55251,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,129266.0,0
2021-10-29,MZ,1284.0,2.0,646.0,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Hnahthial,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,0,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,,0
2021-10-29,MZ,1284.0,2.0,646.0,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Khawzawl,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,0,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,,0
2021-10-29,MZ,1284.0,2.0,646.0,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Kolasib,,,,,0,0,0,,,,,0,0,83054,,,,,,,,50525,33101,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,83626.0,0
2021-10-29,MZ,1284.0,2.0,646.0,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Lawngtlai,,,,,0,0,0,,,,,0,0,117444,,,,,,,,55733,25865,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,81598.0,0
2021-10-29,MZ,1284.0,2.0,646.0,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Lunglei,,,,,0,0,0,,,,,0,0,154094,,,,,,,,95129,73298,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,168427.0,0
2021-10-29,MZ,1284.0,2.0,646.0,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Mamit,,,,,0,0,0,,,,,0,0,85757,,,,,,,,43678,28873,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,72551.0,0
2021-10-29,MZ,1284.0,2.0,646.0,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Saiha,,,,,0,0,0,,,,,0,0,56366,,,,,,,,34626,19828,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,54454.0,0
2021-10-29,MZ,1284.0,2.0,646.0,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Saitual,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,0,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,,0
2021-10-29,MZ,1284.0,2.0,646.0,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Serchhip,,,,,0,0,0,,,,,0,0,64875,,,,,,,,41932,36047,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,77979.0,0
2021-10-29,MZ,,,,0,673,1761,0,118400.42857142857,417.57142857142856,110700.0,,711338.0,511794.0,Unknown,,,,,0,0,0,,,,,0,0,0,,,,120780.0,427.0,113246.0,,0,0,2021-10-30 21:28:01.393615,1192000,,,,120780,427,113246,,711338,511794,1223132.0,2434.0,1223132.0,,0
