,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-11-14,DL,Central Delhi,,,,,,,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
1,2021-11-14,DL,East Delhi,,,,,,,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
2,2021-11-14,DL,New Delhi,,,,,,,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
3,2021-11-14,DL,North Delhi,,,,,,,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
4,2021-11-14,DL,North East Delhi,,,,,,,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
5,2021-11-14,DL,North West Delhi,,,,,,,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
6,2021-11-14,DL,Shahdara,,,,,,,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
7,2021-11-14,DL,South Delhi,,,,,,,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
8,2021-11-14,DL,South East Delhi,,,,,,,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
9,2021-11-14,DL,South West Delhi,,,,,,,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
10,2021-11-14,DL,West Delhi,,,,,,,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
11,2021-11-14,DL,Unknown,,,,1440424,25094,1414981,,2021-11-15 08:11:25.808848,,,,1440424,25094,1414981,
