,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-23,DL,Central Delhi,,,,,,,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
1,2021-12-23,DL,East Delhi,,,,,,,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
2,2021-12-23,DL,New Delhi,,,,,,,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
3,2021-12-23,DL,North Delhi,,,,,,,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
4,2021-12-23,DL,North East Delhi,,,,,,,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
5,2021-12-23,DL,North West Delhi,,,,,,,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
6,2021-12-23,DL,Shahdara,,,,,,,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
7,2021-12-23,DL,South Delhi,,,,,,,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
8,2021-12-23,DL,South East Delhi,,,,,,,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
9,2021-12-23,DL,South West Delhi,,,,,,,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
10,2021-12-23,DL,West Delhi,,,,,,,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
11,2021-12-23,DL,Unknown,,,,1442633,25103,1416846,,2021-12-24 10:38:12.408545,,,,1442633,25103,1416846,
