Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2021-11-01,NL,17,0,10,465,896,3668,0,0,133.0,-11.0,146.0,4530.0,4431.0,21263.0,0.0,Dimapur,7,0,8,,557,2082,0,0,69.0,-9.0,77.0,,2813.0,12047.0,0.0,379769,,,700 cases were recorded as Non Covid Deaths with Covid19 Positivity,14691,411,13479,,268962,177584,0,700,2022-01-28T02:41:13.089826+05:30,2150000,,,1059 cases were recorded as Non Covid Deaths with Covid19 Positivity,31859,670,29914,395881,710447,494319,0,1059,1059.0,700.0
2021-11-01,NL,17,0,10,465,896,3668,0,0,133.0,-11.0,146.0,4530.0,4431.0,21263.0,0.0,Kiphire,1,0,0,,3,45,0,0,3.0,0.0,0.0,,98.0,278.0,0.0,74033,,,1 cases were recorded as Non Covid Deaths with Covid19 Positivity,259,9,246,,13020,8186,0,1,2022-01-28T02:41:13.089826+05:30,2150000,,,1059 cases were recorded as Non Covid Deaths with Covid19 Positivity,31859,670,29914,395881,710447,494319,0,1059,1059.0,1.0
2021-11-01,NL,17,0,10,465,896,3668,0,0,133.0,-11.0,146.0,4530.0,4431.0,21263.0,0.0,Kohima,2,0,0,,97,485,0,0,23.0,-1.0,23.0,,469.0,2723.0,0.0,270063,,,203 cases were recorded as Non Covid Deaths with Covid19 Positivity,9463,122,9095,,105855,83087,0,203,2022-01-28T02:41:13.089826+05:30,2150000,,,1059 cases were recorded as Non Covid Deaths with Covid19 Positivity,31859,670,29914,395881,710447,494319,0,1059,1059.0,203.0
2021-11-01,NL,17,0,10,465,896,3668,0,0,133.0,-11.0,146.0,4530.0,4431.0,21263.0,0.0,Longleng,0,0,0,,5,29,0,0,0.0,-2.0,7.0,,22.0,78.0,0.0,50593,,,20 cases were recorded as Non Covid Deaths with Covid19 Positivity,307,0,286,,20582,15475,0,20,2022-01-28T02:41:13.089826+05:30,2150000,,,1059 cases were recorded as Non Covid Deaths with Covid19 Positivity,31859,670,29914,395881,710447,494319,0,1059,1059.0,20.0
2021-11-01,NL,17,0,10,465,896,3668,0,0,133.0,-11.0,146.0,4530.0,4431.0,21263.0,0.0,Mokokchung,3,0,0,,57,291,0,0,24.0,2.0,3.0,,176.0,1956.0,0.0,193171,,,62 cases were recorded as Non Covid Deaths with Covid19 Positivity,2336,54,2186,,69255,55021,0,62,2022-01-28T02:41:13.089826+05:30,2150000,,,1059 cases were recorded as Non Covid Deaths with Covid19 Positivity,31859,670,29914,395881,710447,494319,0,1059,1059.0,62.0
2021-11-01,NL,17,0,10,465,896,3668,0,0,133.0,-11.0,146.0,4530.0,4431.0,21263.0,0.0,Mon,0,0,0,,19,206,0,0,0.0,-2.0,0.0,,174.0,1362.0,0.0,259604,,,19 cases were recorded as Non Covid Deaths with Covid19 Positivity,1159,12,1124,,70073,48537,0,19,2022-01-28T02:41:13.089826+05:30,2150000,,,1059 cases were recorded as Non Covid Deaths with Covid19 Positivity,31859,670,29914,395881,710447,494319,0,1059,1059.0,19.0
2021-11-01,NL,17,0,10,465,896,3668,0,0,133.0,-11.0,146.0,4530.0,4431.0,21263.0,0.0,Peren,0,0,0,,24,60,0,0,1.0,0.0,1.0,,161.0,458.0,0.0,163294,,,15 cases were recorded as Non Covid Deaths with Covid19 Positivity,920,6,897,,19980,12574,0,15,2022-01-28T02:41:13.089826+05:30,2150000,,,1059 cases were recorded as Non Covid Deaths with Covid19 Positivity,31859,670,29914,395881,710447,494319,0,1059,1059.0,15.0
2021-11-01,NL,17,0,10,465,896,3668,0,0,133.0,-11.0,146.0,4530.0,4431.0,21263.0,0.0,Phek,0,0,1,,34,107,0,0,4.0,0.0,2.0,,104.0,459.0,0.0,163294,,,9 cases were recorded as Non Covid Deaths with Covid19 Positivity,601,18,569,,31275,20853,0,9,2022-01-28T02:41:13.089826+05:30,2150000,,,1059 cases were recorded as Non Covid Deaths with Covid19 Positivity,31859,670,29914,395881,710447,494319,0,1059,1059.0,9.0
2021-11-01,NL,17,0,10,465,896,3668,0,0,133.0,-11.0,146.0,4530.0,4431.0,21263.0,0.0,Tuensang,4,0,1,,18,69,0,0,5.0,0.0,29.0,,89.0,382.0,0.0,414801,,,3 cases were recorded as Non Covid Deaths with Covid19 Positivity,1098,12,1078,,38148,26794,0,3,2022-01-28T02:41:13.089826+05:30,2150000,,,1059 cases were recorded as Non Covid Deaths with Covid19 Positivity,31859,670,29914,395881,710447,494319,0,1059,1059.0,3.0
2021-11-01,NL,17,0,10,465,896,3668,0,0,133.0,-11.0,146.0,4530.0,4431.0,21263.0,0.0,Wokha,0,0,0,,8,81,0,0,4.0,0.0,4.0,,105.0,979.0,0.0,166239,,,16 cases were recorded as Non Covid Deaths with Covid19 Positivity,402,11,361,,35146,23658,0,16,2022-01-28T02:41:13.089826+05:30,2150000,,,1059 cases were recorded as Non Covid Deaths with Covid19 Positivity,31859,670,29914,395881,710447,494319,0,1059,1059.0,16.0
