,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Aizawl,,,,,1,18,,,,,,59.0,596.0,404054,,,,,,,,319989,264269,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
1,1,1,1,1,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Champhai,,,,,0,0,,,,,,33.0,336.0,125370,,,,,,,,75794,61694,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
2,2,2,2,2,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Hnahthial,,,,,0,0,,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
3,3,3,3,3,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Khawzawl,,,,,0,0,,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
4,4,4,4,4,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Kolasib,,,,,15,4,,,,,,108.0,373.0,83054,,,,,,,,51867,39244,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
5,5,5,5,5,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Lawngtlai,,,,,0,15,,,,,,810.0,935.0,117444,,,,,,,,72340,37315,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
6,6,6,6,6,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Lunglei,,,,,0,10,,,,,,352.0,1786.0,154094,,,,,,,,99472,84078,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
7,7,7,7,7,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Mamit,,,,,77,68,,,,,,940.0,703.0,85757,,,,,,,,47179,35121,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
8,8,8,8,8,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Saiha,,,,,30,54,,,,,,262.0,428.0,56366,,,,,,,,36142,24831,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
9,9,9,9,9,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Saitual,,,,,0,0,,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
10,10,10,10,10,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Serchhip,,,,,0,0,,,,,,2.0,83.0,64875,,,,,,,,42416,37954,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
11,11,11,11,11,2021-12-23,MZ,111,0,245,0,123,169,1940,1027.0,5.0,1839.0,,2566.0,5240.0,Unknown,111.0,0.0,245.0,,0,0,1940.0,1027.0,5.0,1839.0,,0.0,0.0,0,,,,140254.0,535.0,138006.0,,0,0,2021-12-24 10:38:12.408545,1192000,,,,140254,535,138006,,745199,584506,0,0,0,0,0
