Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-12-24,UT,2,0,1,0,64,96,1123,50,17.0,0.0,26.0,0.0,305.0,463.0,5936.0,Almora,0,0,0,,1,1,55,0,0.0,0.0,0.0,,3.0,10.0,178.0,621927,,,,17157,200,15896,,451600,416120,96804,0,2022-12-25 13:55:25.279314,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449371,7751,441592,10173807.0,9115025,8722942,2211212,0,0.0,0.0
2022-12-24,UT,2,0,1,0,64,96,1123,50,17.0,0.0,26.0,0.0,305.0,463.0,5936.0,Bageshwar,0,0,0,,0,0,7,0,0.0,0.0,0.0,,0.0,1.0,7.0,259840,,,,7932,61,7737,,216007,200915,65409,0,2022-12-25 13:55:25.279314,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449371,7751,441592,10173807.0,9115025,8722942,2211212,0,0.0,0.0
2022-12-24,UT,2,0,1,0,64,96,1123,50,17.0,0.0,26.0,0.0,305.0,463.0,5936.0,Chamoli,0,0,0,,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,391114,,,,15633,65,15227,,320892,318666,125409,0,2022-12-25 13:55:25.279314,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449371,7751,441592,10173807.0,9115025,8722942,2211212,0,0.0,0.0
2022-12-24,UT,2,0,1,0,64,96,1123,50,17.0,0.0,26.0,0.0,305.0,463.0,5936.0,Champawat,0,0,0,,1,1,16,0,0.0,0.0,0.0,,7.0,4.0,83.0,259315,,,,9676,55,9401,,220145,209133,48265,0,2022-12-25 13:55:25.279314,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449371,7751,441592,10173807.0,9115025,8722942,2211212,0,0.0,0.0
2022-12-24,UT,2,0,1,0,64,96,1123,50,17.0,0.0,26.0,0.0,305.0,463.0,5936.0,Dehradun,0,0,0,,36,46,683,0,0.0,0.0,0.0,,182.0,269.0,3865.0,1698560,,,,151861,3737,146899,,1833187,1707869,443165,0,2022-12-25 13:55:25.279314,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449371,7751,441592,10173807.0,9115025,8722942,2211212,0,0.0,0.0
2022-12-24,UT,2,0,1,0,64,96,1123,50,17.0,0.0,26.0,0.0,305.0,463.0,5936.0,Haridwar,0,0,0,,3,2,59,0,0.0,0.0,0.0,,38.0,56.0,489.0,1927029,,,,65716,1056,62975,,1752621,1641138,365001,0,2022-12-25 13:55:25.279314,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449371,7751,441592,10173807.0,9115025,8722942,2211212,0,0.0,0.0
2022-12-24,UT,2,0,1,0,64,96,1123,50,17.0,0.0,26.0,0.0,305.0,463.0,5936.0,Nainital,0,0,0,,15,5,84,0,0.0,0.0,0.0,,35.0,27.0,462.0,955128,,,,52916,980,51651,,892390,870349,209767,0,2022-12-25 13:55:25.279314,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449371,7751,441592,10173807.0,9115025,8722942,2211212,0,0.0,0.0
2022-12-24,UT,2,0,1,0,64,96,1123,50,17.0,0.0,26.0,0.0,305.0,463.0,5936.0,Pauri Garhwal,0,0,0,,1,3,186,0,0.0,0.0,0.0,,14.0,23.0,657.0,686527,,,,23347,336,21258,,527518,505207,152390,0,2022-12-25 13:55:25.279314,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449371,7751,441592,10173807.0,9115025,8722942,2211212,0,0.0,0.0
2022-12-24,UT,2,0,1,0,64,96,1123,50,17.0,0.0,26.0,0.0,305.0,463.0,5936.0,Pithoragarh,0,0,0,,4,6,33,0,0.0,0.0,0.0,,7.0,12.0,94.0,485993,,,,13062,186,12601,,382263,367859,76516,0,2022-12-25 13:55:25.279314,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449371,7751,441592,10173807.0,9115025,8722942,2211212,0,0.0,0.0
2022-12-24,UT,2,0,1,0,64,96,1123,50,17.0,0.0,26.0,0.0,305.0,463.0,5936.0,Rudraprayag,0,0,0,,0,0,0,0,0.0,0.0,0.0,,0.0,3.0,16.0,236857,,,,11868,108,11458,,201949,185360,60908,0,2022-12-25 13:55:25.279314,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449371,7751,441592,10173807.0,9115025,8722942,2211212,0,0.0,0.0
