Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-15,PB,30,1,31,13427,30851,59760,0,241.0,9.0,133.0,,174293.0,367585.0,Amritsar,1,0,5,,5242,6493,0,,,,,23687.0,31700.0,2490891,,,,47409,1598,45806,,1294692,488286,2021-11-16T15:29:17.386531+05:30,29859000,,,,602825,16573,585931,15810659,16215957,6783043
2021-11-15,PB,30,1,31,13427,30851,59760,0,241.0,9.0,133.0,,174293.0,367585.0,Barnala,0,0,0,,1638,2200,0,,,,,9197.0,12217.0,596294,,,,5954,244,5702,,342968,120433,2021-11-16T15:29:17.386531+05:30,29859000,,,,602825,16573,585931,15810659,16215957,6783043
2021-11-15,PB,30,1,31,13427,30851,59760,0,241.0,9.0,133.0,,174293.0,367585.0,Bathinda,1,0,0,,1403,1371,0,,,,,6859.0,8495.0,1388859,,,,41752,1042,40688,,635353,216059,2021-11-16T15:29:17.386531+05:30,29859000,,,,602825,16573,585931,15810659,16215957,6783043
2021-11-15,PB,30,1,31,13427,30851,59760,0,241.0,9.0,133.0,,174293.0,367585.0,Faridkot,0,0,0,,338,972,0,,,,,3706.0,9180.0,618008,,,,13937,316,13613,,335819,141068,2021-11-16T15:29:17.386531+05:30,29859000,,,,602825,16573,585931,15810659,16215957,6783043
2021-11-15,PB,30,1,31,13427,30851,59760,0,241.0,9.0,133.0,,174293.0,367585.0,Fatehgarh Sahib,1,0,2,,480,1197,0,,,,,2214.0,7042.0,599814,,,,8886,335,8544,,358719,146019,2021-11-16T15:29:17.386531+05:30,29859000,,,,602825,16573,585931,15810659,16215957,6783043
2021-11-15,PB,30,1,31,13427,30851,59760,0,241.0,9.0,133.0,,174293.0,367585.0,Fazilka,0,0,0,,1185,1226,0,,,,,7256.0,9334.0,1180483,,,,20278,529,19743,,499928,144477,2021-11-16T15:29:17.386531+05:30,29859000,,,,602825,16573,585931,15810659,16215957,6783043
2021-11-15,PB,30,1,31,13427,30851,59760,0,241.0,9.0,133.0,,174293.0,367585.0,Ferozepur,11,0,2,,1074,1695,0,,,,,5342.0,9869.0,2026831,,,,14374,504,13850,,484514,142573,2021-11-16T15:29:17.386531+05:30,29859000,,,,602825,16573,585931,15810659,16215957,6783043
2021-11-15,PB,30,1,31,13427,30851,59760,0,241.0,9.0,133.0,,174293.0,367585.0,Gurdaspur,1,0,1,,2038,3717,0,,,,,19496.0,39799.0,2299026,,,,22390,801,21582,,893578,479873,2021-11-16T15:29:17.386531+05:30,29859000,,,,602825,16573,585931,15810659,16215957,6783043
2021-11-15,PB,30,1,31,13427,30851,59760,0,241.0,9.0,133.0,,174293.0,367585.0,Hoshiarpur,2,1,4,,932,3268,0,,,,,5866.0,22547.0,1582793,,,,30863,989,29847,,1009347,607664,2021-11-16T15:29:17.386531+05:30,29859000,,,,602825,16573,585931,15810659,16215957,6783043
2021-11-15,PB,30,1,31,13427,30851,59760,0,241.0,9.0,133.0,,174293.0,367585.0,Jalandhar,0,0,7,,2261,8786,0,,,,,11832.0,40889.0,2181753,,,,63446,1496,61907,,1451765,739839,2021-11-16T15:29:17.386531+05:30,29859000,,,,602825,16573,585931,15810659,16215957,6783043
2021-11-15,PB,30,1,31,13427,30851,59760,0,241.0,9.0,133.0,,174293.0,367585.0,Kapurthala,1,0,0,,1086,2167,0,,,,,4464.0,12056.0,817668,,,,17863,556,17297,,472321,204609,2021-11-16T15:29:17.386531+05:30,29859000,,,,602825,16573,585931,15810659,16215957,6783043
