Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-12-13,JK,Srinagar,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,77994,874,76599,,2021-12-13 23:56:24.794498,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Baramulla,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,25707,290,25233,,2021-12-13 23:56:24.794516,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Budgam,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,24361,213,24046,,2021-12-13 23:56:24.794517,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Pulwama,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,15660,194,15412,,2021-12-13 23:56:24.794519,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Kupwara,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,14850,167,14613,,2021-12-13 23:56:24.794520,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Anantnag,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,16700,207,16479,,2021-12-13 23:56:24.794522,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Bandipora,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,10099,107,9924,,2021-12-13 23:56:24.794524,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Ganderbal,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,10843,80,10668,,2021-12-13 23:56:24.794525,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Kulgam,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,11527,117,11403,,2021-12-13 23:56:24.794529,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Shopiyan,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,5615,59,5555,,2021-12-13 23:56:24.794530,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Jammu,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,53867,1154,52526,,2021-12-13 23:56:24.794532,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Udhampur,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,11452,138,11306,,2021-12-13 23:56:24.794533,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Rajouri,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,11353,238,11098,,2021-12-13 23:56:24.794534,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Doda,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,7982,134,7808,,2021-12-13 23:56:24.794535,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Kathua,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,9370,152,9203,,2021-12-13 23:56:24.794537,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Samba,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,7172,120,7046,,2021-12-13 23:56:24.794538,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Kishtwar,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,4842,44,4791,,2021-12-13 23:56:24.794539,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Punch,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,6561,100,6429,,2021-12-13 23:56:24.794540,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Ramban,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,6059,67,5990,,2021-12-13 23:56:24.794542,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
2021-12-13,JK,Reasi,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,6976,43,6921,,2021-12-13 23:56:24.794543,2021-12-13 17:00:00+05:30,https://twitter.com/diprjk,,338990,4498,333050,18324013
