Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-10-31,MZ,744.0,3.0,610.0,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Aizawl,,,,,127942,93075,0,,,,,187764,146518,404054,,,,,,,,315706,239593,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,555299.0,221017
2021-10-31,MZ,744.0,3.0,610.0,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Champhai,,,,,0,0,0,,,,,74122,55251,125370,,,,,,,,74122,55251,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,129373.0,0
2021-10-31,MZ,744.0,3.0,610.0,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Hnahthial,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,0,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,,0
2021-10-31,MZ,744.0,3.0,610.0,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Khawzawl,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,0,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,,0
2021-10-31,MZ,744.0,3.0,610.0,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Kolasib,,,,,0,0,0,,,,,50525,33101,83054,,,,,,,,50525,33101,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,83626.0,0
2021-10-31,MZ,744.0,3.0,610.0,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Lawngtlai,,,,,129,0,0,,,,,55877,25870,117444,,,,,,,,55877,25870,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,81747.0,129
2021-10-31,MZ,744.0,3.0,610.0,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Lunglei,,,,,0,0,0,,,,,95129,73298,154094,,,,,,,,95129,73298,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,168427.0,0
2021-10-31,MZ,744.0,3.0,610.0,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Mamit,,,,,0,0,0,,,,,43678,28873,85757,,,,,,,,43678,28873,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,72551.0,0
2021-10-31,MZ,744.0,3.0,610.0,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Saiha,,,,,0,39,0,,,,,34626,19984,56366,,,,,,,,34626,19984,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,54610.0,39
2021-10-31,MZ,744.0,3.0,610.0,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Saitual,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,0,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,,0
2021-10-31,MZ,744.0,3.0,610.0,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Serchhip,,,,,0,0,0,,,,,41932,36047,64875,,,,,,,,41932,36047,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,77979.0,0
2021-10-31,MZ,,,,0,129,39,0,119495.0,424.2857142857143,112382.0,,711595.0,512017.0,Unknown,,,,,0,0,0,,,,,0,0,0,,,,121524.0,433.0,114612.0,,0,0,2021-11-01 17:56:03.957793,1192000,,,,121524,433,114612,,711595,512017,1223612.0,168.0,1223612.0,,0
