Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Anantapur,4.0,0.0,5.0,,4575,5370,0,38.0,0.0,58.0,,92803.0,140903.0,4083315,,,,157843,1093,156699,,2690082,1611476,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Chittoor,64.0,1.0,87.0,,878,1306,0,516.0,6.0,629.0,,63824.0,119541.0,4170468,,,,246935,1947,244144,,2832987,1807873,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,East Godavari,87.0,0.0,121.0,,41,237,0,604.0,0.0,520.0,,36973.0,223236.0,5151549,,,,293836,1290,291610,,3532220,1990578,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Guntur,33.0,0.0,198.0,,1119,1248,0,177634.0,1237.0,176195.0,,,,4889230,,,,178068,1237,176629,,3440118,1891773,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Krishna,46.0,1.0,71.0,,51,337,0,-58448.0,197.0,-58880.0,,-183137.0,179972.0,4529009,,,,119348,1430,117130,,2971604,1914927,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Kurnool,6.0,0.0,3.0,,4716,1538,0,5216.0,-568.0,6601.0,,-223493.0,-393720.0,4046601,,,,124142,853,123264,,2672759,1290419,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Other Countries,,,,,0,0,0,-123683.0,-853.0,-122804.0,,-2494139.0,-1217300.0,0,,,,434,0,434,,0,0,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Other States,,,,,0,0,0,,,,,,,0,,,,2461,0,2461,,0,0,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Prakasam,6.0,0.0,37.0,,3292,5872,0,136021.0,1124.0,134528.0,,,,3392764,,,,138482,1124,136989,,2321031,1521177,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,S.P.S. Nellore,34.0,1.0,23.0,,2724,1639,0,,,,,,,2966082,,,,146388,1053,144919,,2143402,1403240,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Srikakulam,19.0,0.0,20.0,,2,6,0,-15270.0,-335.0,-14563.0,,-553445.0,-416230.0,2699471,,,,123109,786,122136,,1630248,974734,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Visakhapatnam,27.0,0.0,30.0,,1309,2311,0,11504.0,76.0,11808.0,,953003.0,576113.0,4288113,,,,157737,1127,156492,,2999432,1864960,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Vizianagaram,7.0,1.0,11.0,,601,1855,0,-40010.0,-114.0,-39833.0,,-217874.0,150938.0,2342868,,,,82967,672,82231,,1393491,996097,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,West Godavari,40.0,0.0,44.0,,878,1884,0,21577.0,-9.0,21415.0,,-408814.0,121187.0,3934782,,,,179077,1117,177680,,2525317,1778807,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
2021-10-31,AP,385,4,675,39848.0,21191,24704,0,2873.0,30.0,3590.0,254532.0,1223155.0,1887022.0,Y.S.R. Kadapa,12.0,0.0,25.0,,1005,1101,0,32709.0,-27.0,32711.0,,475388.0,456190.0,2884524,,,,115623,644,114904,,1824032,1328711,2021-11-11 10:25:27.929376,52221000,2021-11-11 10:25:27.929892,,,2066450,14373,2047722,29518787,32976723,20374772
