,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-12-15,TN,640,11,692,102775,91372,141712,5129,4687.0,84.0,5001.0,715388.0,1082664.0,2048398.0,Ariyalur,3,0,1,,635,2911,8,4.0,0.0,8.0,,9657.0,38920.0,752481,,,,16936,264,16661,,589978,343799,2021-12-15T23:56:12.218055+05:30,75695000,,,,2737335,36644,2693143,55802775,47976957,29535190,0,0,0,0,0
1,1,1,1,1,2021-12-15,TN,640,11,692,102775,91372,141712,5129,4687.0,84.0,5001.0,715388.0,1082664.0,2048398.0,Chengalpattu,48,0,52,,2195,4118,423,351.0,4.0,390.0,,30479.0,62842.0,2556244,,,,174608,2541,171489,,1476604,903737,2021-12-15T23:56:12.218055+05:30,75695000,,,,2737335,36644,2693143,55802775,47976957,29535190,0,0,0,0,0
2,2,2,2,2,2021-12-15,TN,640,11,692,102775,91372,141712,5129,4687.0,84.0,5001.0,715388.0,1082664.0,2048398.0,Chennai,127,2,111,,6899,11704,711,835.0,14.0,713.0,,89586.0,162734.0,7100000,,,,559832,8636,549853,,5255115,3640076,2021-12-15T23:56:12.218055+05:30,75695000,,,,2737335,36644,2693143,55802775,47976957,29535190,0,0,0,0,0
3,3,3,3,3,2021-12-15,TN,640,11,692,102775,91372,141712,5129,4687.0,84.0,5001.0,715388.0,1082664.0,2048398.0,Coimbatore,109,3,107,,1771,6262,783,753.0,14.0,838.0,,25296.0,110618.0,3472578,,,,251920,2492,248280,,2836624,1806060,2021-12-15T23:56:12.218055+05:30,75695000,,,,2737335,36644,2693143,55802775,47976957,29535190,0,0,0,0,0
4,4,4,4,4,2021-12-15,TN,640,11,692,102775,91372,141712,5129,4687.0,84.0,5001.0,715388.0,1082664.0,2048398.0,Cuddalore,5,0,7,,3161,6648,45,42.0,1.0,46.0,,53164.0,73586.0,2600880,,,,64489,874,63548,,1998674,1265466,2021-12-15T23:56:12.218055+05:30,75695000,,,,2737335,36644,2693143,55802775,47976957,29535190,0,0,0,0,0
5,5,5,5,5,2021-12-15,TN,640,11,692,102775,91372,141712,5129,4687.0,84.0,5001.0,715388.0,1082664.0,2048398.0,Dharmapuri,6,0,13,,1697,3999,71,49.0,0.0,71.0,,17569.0,36177.0,1502900,,,,28918,279,28565,,849485,486705,2021-12-15T23:56:12.218055+05:30,75695000,,,,2737335,36644,2693143,55802775,47976957,29535190,0,0,0,0,0
6,6,6,6,6,2021-12-15,TN,640,11,692,102775,91372,141712,5129,4687.0,84.0,5001.0,715388.0,1082664.0,2048398.0,Dindigul,0,0,6,,4424,5238,34,21.0,1.0,29.0,,55300.0,65790.0,2161367,,,,33290,652,32597,,1570425,943425,2021-12-15T23:56:12.218055+05:30,75695000,,,,2737335,36644,2693143,55802775,47976957,29535190,0,0,0,0,0
7,7,7,7,7,2021-12-15,TN,640,11,692,102775,91372,141712,5129,4687.0,84.0,5001.0,715388.0,1082664.0,2048398.0,Erode,43,0,58,,3289,5455,455,350.0,6.0,465.0,,45596.0,84326.0,2259608,,,,107108,705,105813,,1538575,999013,2021-12-15T23:56:12.218055+05:30,75695000,,,,2737335,36644,2693143,55802775,47976957,29535190,0,0,0,0,0
8,8,8,8,8,2021-12-15,TN,640,11,692,102775,91372,141712,5129,4687.0,84.0,5001.0,715388.0,1082664.0,2048398.0,Kallakurichi,0,0,4,,2628,4007,19,8.0,0.0,17.0,,23814.0,51652.0,1370281,,,,31586,210,31354,,877091,610754,2021-12-15T23:56:12.218055+05:30,75695000,,,,2737335,36644,2693143,55802775,47976957,29535190,0,0,0,0,0
9,9,9,9,9,2021-12-15,TN,640,11,692,102775,91372,141712,5129,4687.0,84.0,5001.0,715388.0,1082664.0,2048398.0,Kancheepuram,15,0,18,,1046,2892,142,124.0,0.0,147.0,,13100.0,35461.0,1166401,,,,75885,1265,74411,,735332,411410,2021-12-15T23:56:12.218055+05:30,75695000,,,,2737335,36644,2693143,55802775,47976957,29535190,0,0,0,0,0
