,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-01-18,HR,Foreign Evacuees,,,,,,,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
1,2022-01-18,HR,Ambala,,,,35643,520,31280,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
2,2022-01-18,HR,Bhiwani,,,,23277,654,22005,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
3,2022-01-18,HR,Charkhi Dadri,,,,5470,139,5106,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
4,2022-01-18,HR,Faridabad,,,,114198,720,102071,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
5,2022-01-18,HR,Fatehabad,,,,18437,485,17587,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
6,2022-01-18,HR,Gurugram,,,,220972,934,196661,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
7,2022-01-18,HR,Hisar,,,,55911,1139,53671,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
8,2022-01-18,HR,Italians,,,,,,,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
9,2022-01-18,HR,Jhajjar,,,,20601,328,19507,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
10,2022-01-18,HR,Jind,,,,22201,535,21052,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
11,2022-01-18,HR,Kaithal,,,,12099,349,11124,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
12,2022-01-18,HR,Karnal,,,,44196,560,40919,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
13,2022-01-18,HR,Kurukshetra,,,,23697,360,22671,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
14,2022-01-18,HR,Mahendragarh,,,,22171,156,21667,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
15,2022-01-18,HR,Nuh,,,,5279,123,5039,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
16,2022-01-18,HR,Palwal,,,,11258,153,10945,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
17,2022-01-18,HR,Panchkula,,,,37620,384,34593,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
18,2022-01-18,HR,Panipat,,,,33302,639,31193,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
19,2022-01-18,HR,Rewari,,,,21587,221,20727,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
20,2022-01-18,HR,Rohtak,,,,28056,534,26158,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
21,2022-01-18,HR,Sirsa,,,,30478,511,29228,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
22,2022-01-18,HR,Sonipat,,,,51630,257,48920,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
23,2022-01-18,HR,Yamunanagar,,,,26407,423,24942,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
24,2022-01-18,HR,Unknown,,,,0.0,0,0,,2022-01-19 12:43:25.758305,,,,864490,10124,797066,15385209
