Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-02,AS,270,7,159,0,27282,127435,0,610388.0,5997.0,600661.0,,20134119.0,7991229.0,Airport Quarantine,,,,,0,0,0,,,,,521076.0,238463.0,0,,,,,,,,0,0,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,610388.0,5997.0,600661.0,,20134119.0,7991229.0,Baksa,,,,,359,3443,0,,,,,522000.0,132683.0,953773,,,,,,,,554753,142979,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,610388.0,5997.0,600661.0,,20134119.0,7991229.0,Barpeta,,,,,1086,7079,0,,,,,,,1693190,,,,,,,,1097501,464374,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Biswanath,,,,,374,3731,0,,,,,,,612491,,,,,,,,457095,221335,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Bongaigaon,,,,,620,7668,0,,,,,,,732639,,,,,,,,494615,200339,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Cachar,,,,,2132,2694,0,,,,,,,1736319,,,,,,,,1106090,407816,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Charaideo,,,,,271,2120,0,,,,,,,0,,,,,,,,309609,115561,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Chirang,,,,,285,1668,0,,,,,,,481818,,,,,,,,289340,105970,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Darrang,,,,,1806,2822,0,,,,,,,908090,,,,,,,,600379,189842,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Dhemaji,,,,,523,2321,0,,,,,,,688077,,,,,,,,433038,189855,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Dhubri,,,,,1063,3959,0,,,,,,,1948632,,,,,,,,947557,238328,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Dibrugarh,,,,,904,6423,0,,,,,,,1327748,,,,,,,,916703,443950,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Dima Hasao,,,,,180,315,0,,,,,,,213529,,,,,,,,116817,63315,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Goalpara,,,,,488,4153,0,,,,,,,1008959,,,,,,,,663160,205523,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Golaghat,,,,,657,5827,0,,,,,,,1058674,,,,,,,,712890,318014,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Hailakandi,,,,,241,1371,0,,,,,,,659260,,,,,,,,422765,150232,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Hojai,,,,,541,4462,0,,,,,,,931218,,,,,,,,603594,283018,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Jorhat,,,,,722,7310,0,,,,,,,1091295,,,,,,,,650699,312823,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Kamrup,,,,,1289,8240,0,,,,,,,1517202,,,,,,,,1081732,425573,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Kamrup Metropolitan,,,,,756,4994,0,,,,,,,1260419,,,,,,,,1248010,886654,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Karbi Anglong,,,,,1738,1948,0,,,,,,,965280,,,,,,,,288059,106758,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Karimganj,,,,,490,3185,0,,,,,,,1217002,,,,,,,,682220,209472,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Kokrajhar,,,,,432,3698,0,,,,,,,886999,,,,,,,,539899,164372,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Lakhimpur,,,,,540,5368,0,,,,,,,1040644,,,,,,,,682829,314387,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Majuli,,,,,306,1079,0,,,,,,,167304,,,,,,,,118230,84622,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Morigaon,,,,,726,4600,0,,,,,,,957853,,,,,,,,594084,221077,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Nagaon,,,,,1160,5812,0,,,,,,,2826006,,,,,,,,1207892,466715,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Nalbari,,,,,819,3901,0,,,,,,,769919,,,,,,,,485058,176821,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Other State,,,,,0,0,0,,,,,,,0,,,,,,,,0,0,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Sivasagar,,,,,260,3623,0,,,,,,,1150253,,,,,,,,479456,231588,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Sonitpur,,,,,848,4987,0,,,,,,,1925975,,,,,,,,769630,444983,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,South Salmara Mankachar,,,,,363,2945,0,,,,,,,555114,,,,,,,,240597,82597,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Tinsukia,,,,,3659,1846,0,,,,,,,1316948,,,,,,,,803680,290516,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Udalguri,,,,,1156,3492,0,,,,,,,832769,,,,,,,,507265,140525,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,Unknown,270.0,7.0,159.0,,0,0,0,,,,,,,0,,,,611211.0,6011.0,601468.0,,0,0,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
2021-11-02,AS,270,7,159,0,27282,127435,0,,,,,,,West Karbi Anglong,,,,,488,351,0,,,,,,,300320,,,,,,,,128446,43663,2021-11-03 18:05:46.749334,34293000,,,,611211,6011,601468,,20233692,8343597
