Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-11-25,TN,739,17,764,101993,365615,618245,0,5267.0,96.0,5807.0,709979.0,1581574.0,2484250.0,Ariyalur,-1,1,4,,6090,10070,0,11.0,2.0,23.0,,39917.0,37774.0,752481,,,,16917,264,16633,,542769,240358,2021-11-26T11:20:51.658692+05:30,75695000,,,,2723245,36432,2678371,53764057,44453286,23320301
2021-11-25,TN,739,17,764,101993,365615,618245,0,5267.0,96.0,5807.0,709979.0,1581574.0,2484250.0,Chengalpattu,72,2,65,,7719,17375,0,414.0,5.0,513.0,,29283.0,64266.0,2556244,,,,173490,2531,170306,,1393185,732686,2021-11-26T11:20:51.658692+05:30,75695000,,,,2723245,36432,2678371,53764057,44453286,23320301
2021-11-25,TN,739,17,764,101993,365615,618245,0,5267.0,96.0,5807.0,709979.0,1581574.0,2484250.0,Chennai,91,3,120,,420446,277867,0,769.0,19.0,801.0,,66247.0,168733.0,7100000,,,,557528,8603,547690,,5034372,3195471,2021-11-26T11:20:51.658692+05:30,75695000,,,,2723245,36432,2678371,53764057,44453286,23320301
2021-11-25,TN,739,17,764,101993,365615,618245,0,5267.0,96.0,5807.0,709979.0,1581574.0,2484250.0,Coimbatore,113,3,116,,5140,30220,0,853.0,15.0,765.0,,23362.0,127854.0,3472578,,,,249627,2458,245916,,2766932,1479297,2021-11-26T11:20:51.658692+05:30,75695000,,,,2723245,36432,2678371,53764057,44453286,23320301
2021-11-25,TN,739,17,764,101993,365615,618245,0,5267.0,96.0,5807.0,709979.0,1581574.0,2484250.0,Cuddalore,6,0,8,,22269,33647,0,44.0,1.0,86.0,,99805.0,149462.0,2600880,,,,64367,872,63401,,1804592,1015358,2021-11-26T11:20:51.658692+05:30,75695000,,,,2723245,36432,2678371,53764057,44453286,23320301
2021-11-25,TN,739,17,764,101993,365615,618245,0,5267.0,96.0,5807.0,709979.0,1581574.0,2484250.0,Dharmapuri,8,0,12,,2463,7491,0,66.0,0.0,94.0,,12941.0,38569.0,1502900,,,,28757,278,28349,,800413,371292,2021-11-26T11:20:51.658692+05:30,75695000,,,,2723245,36432,2678371,53764057,44453286,23320301
2021-11-25,TN,739,17,764,101993,365615,618245,0,5267.0,96.0,5807.0,709979.0,1581574.0,2484250.0,Dindigul,4,0,3,,614264,340142,0,27.0,0.0,25.0,,86891.0,105389.0,2161367,,,,33209,650,32502,,1378591,725730,2021-11-26T11:20:51.658692+05:30,75695000,,,,2723245,36432,2678371,53764057,44453286,23320301
2021-11-25,TN,739,17,764,101993,365615,618245,0,5267.0,96.0,5807.0,709979.0,1581574.0,2484250.0,Erode,78,1,67,,4779,17678,0,514.0,2.0,454.0,,21215.0,75693.0,2259608,,,,105999,695,104455,,1416385,736762,2021-11-26T11:20:51.658692+05:30,75695000,,,,2723245,36432,2678371,53764057,44453286,23320301
2021-11-25,TN,739,17,764,101993,365615,618245,0,5267.0,96.0,5807.0,709979.0,1581574.0,2484250.0,Kallakurichi,4,0,9,,9398,15139,0,23.0,0.0,50.0,,39680.0,61008.0,1370281,,,,31546,210,31271,,789177,460733,2021-11-26T11:20:51.658692+05:30,75695000,,,,2723245,36432,2678371,53764057,44453286,23320301
2021-11-25,TN,739,17,764,101993,365615,618245,0,5267.0,96.0,5807.0,709979.0,1581574.0,2484250.0,Kancheepuram,23,0,22,,2730,5835,0,122.0,1.0,188.0,,12848.0,27914.0,1166401,,,,75499,1263,74039,,697307,314990,2021-11-26T11:20:51.658692+05:30,75695000,,,,2723245,36432,2678371,53764057,44453286,23320301
