Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-08,UP,10,0,3,0,615819,891143,0,97.0,0.0,50.0,,3492382.0,4941781.0,Agra,,,,,16652,21675,0,,,,,82075.0,98932.0,4380793,,,,,,,,2623037,1279529,2021-12-09 10:46:46.754772,224979000,,,,1710502,22911,1687452,,116321298,55904983
2021-12-08,UP,10,0,3,0,615819,891143,0,97.0,0.0,50.0,,3492382.0,4941781.0,Aligarh,,,,,15232,17475,0,,,,,59890.0,69214.0,3673849,,,,,,,,2114957,981943,2021-12-09 10:46:46.754772,224979000,,,,1710502,22911,1687452,,116321298,55904983
2021-12-08,UP,10,0,3,0,615819,891143,0,97.0,0.0,50.0,,3492382.0,4941781.0,Ambedkar Nagar,,,,,17171,10860,0,,,,,107991.0,54548.0,2398709,,,,,,,,1466045,615360,2021-12-09 10:46:46.754772,224979000,,,,1710502,22911,1687452,,116321298,55904983
2021-12-08,UP,10,0,3,0,615819,891143,0,97.0,0.0,50.0,,3492382.0,4941781.0,Amethi,,,,,3237,9149,0,,,,,24844.0,53469.0,2549935,,,,,,,,1141378,636585,2021-12-09 10:46:46.754772,224979000,,,,1710502,22911,1687452,,116321298,55904983
2021-12-08,UP,10,0,3,0,615819,891143,0,97.0,0.0,50.0,,3492382.0,4941781.0,Amroha,,,,,3609,8509,0,,,,,15284.0,36877.0,1838771,,,,,,,,953012,427844,2021-12-09 10:46:46.754772,224979000,,,,1710502,22911,1687452,,116321298,55904983
2021-12-08,UP,10,0,3,0,615819,891143,0,97.0,0.0,50.0,,3492382.0,4941781.0,Auraiya,,,,,1121,1865,0,,,,,12018.0,19523.0,1372287,,,,,,,,732642,334343,2021-12-09 10:46:46.754772,224979000,,,,1710502,22911,1687452,,116321298,55904983
2021-12-08,UP,10,0,3,0,615819,891143,0,97.0,0.0,50.0,,3492382.0,4941781.0,Ayodhya,,,,,13851,11057,0,,,,,93267.0,69465.0,2468371,,,,,,,,1516874,682737,2021-12-09 10:46:46.754772,224979000,,,,1710502,22911,1687452,,116321298,55904983
2021-12-08,UP,10,0,3,0,615819,891143,0,97.0,0.0,50.0,,3492382.0,4941781.0,Azamgarh,,,,,19610,19564,0,,,,,100257.0,104643.0,4616509,,,,,,,,3053605,1195399,2021-12-09 10:46:46.754772,224979000,,,,1710502,22911,1687452,,116321298,55904983
2021-12-08,UP,10,0,3,0,615819,891143,0,97.0,0.0,50.0,,3492382.0,4941781.0,Baghpat,,,,,1321,5215,0,,,,,7454.0,28129.0,1302156,,,,,,,,743504,515404,2021-12-09 10:46:46.754772,224979000,,,,1710502,22911,1687452,,116321298,55904983
2021-12-08,UP,10,0,3,0,615819,891143,0,97.0,0.0,50.0,,3492382.0,4941781.0,Bahraich,,,,,10225,11340,0,,,,,80086.0,67396.0,2384239,,,,,,,,2002206,1094639,2021-12-09 10:46:46.754772,224979000,,,,1710502,22911,1687452,,116321298,55904983
