,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-03,UT,Almora,,,,12223,196,12020,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
1,2021-12-03,UT,Bageshwar,,,,5765,60,5704,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
2,2021-12-03,UT,Chamoli,,,,12247,62,12184,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
3,2021-12-03,UT,Champawat,,,,7608,53,7552,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
4,2021-12-03,UT,Dehradun,,,,112564,3523,108983,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
5,2021-12-03,UT,Haridwar,,,,51552,1020,50508,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
6,2021-12-03,UT,Nainital,,,,39301,946,38305,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
7,2021-12-03,UT,Pauri Garhwal,,,,17722,315,17379,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
8,2021-12-03,UT,Pithoragarh,,,,10267,182,10081,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
9,2021-12-03,UT,Rudraprayag,,,,8801,106,8695,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
10,2021-12-03,UT,Tehri Garhwal,,,,15840,110,15728,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
11,2021-12-03,UT,Udham Singh Nagar,,,,37885,761,37117,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
12,2021-12-03,UT,Uttarkashi,,,,12560,74,12484,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
13,2021-12-03,UT,Unknown,,,,0,0,0,,2021-12-04 11:55:15.875049,,,,344335,7408,336740,
